latitude,longitude,ID
23.497027,100.702871,CSA0001
23.497027,100.702871,CSA0002
23.497027,100.702871,CSA0003
24.004441,101.108595,CSA0004
23.497027,100.702871,CSA0005
24.004441,101.108595,CSA0006
21.957353,100.452547,CSA0007
21.957353,100.452547,CSA0008
21.957353,100.452547,CSA0009
21.957353,100.452547,CSA0010
21.957353,100.452547,CSA0011
21.957353,100.452547,CSA0012
21.957353,100.452547,CSA0013
21.957353,100.452547,CSA0014
21.957353,100.452547,CSA0015
21.957353,100.452547,CSA0016
21.957353,100.452547,CSA0017
21.957353,100.452547,CSA0018
21.957353,100.452547,CSA0019
21.957353,100.452547,CSA0020
21.957353,100.452547,CSA0021
21.957353,100.452547,CSA0022
21.957353,100.452547,CSA0023
21.957353,100.452547,CSA0024
21.957353,100.452547,CSA0025
21.957353,100.452547,CSA0026
21.957353,100.452547,CSA0027
21.957353,100.452547,CSA0028
21.957353,100.452547,CSA0029
21.957353,100.452547,CSA0030
21.957353,100.452547,CSA0031
21.957353,100.452547,CSA0032
21.957353,100.452547,CSA0033
21.957353,100.452547,CSA0034
21.957353,100.452547,CSA0035
21.957353,100.452547,CSA0036
21.957353,100.452547,CSA0037
21.957353,100.452547,CSA0038
21.957353,100.452547,CSA0039
21.957353,100.452547,CSA0040
21.957353,100.452547,CSA0041
21.957353,100.452547,CSA0042
21.957353,100.452547,CSA0043
21.957353,100.452547,CSA0044
21.957353,100.452547,CSA0045
21.957353,100.452547,CSA0046
21.957353,100.452547,CSA0047
21.957353,100.452547,CSA0048
24.586766,98.68923,CSA0049
23.146712,99.246196,CSA0050
21.957353,100.452547,CSA0051
21.957353,100.452547,CSA0052
21.957353,100.452547,CSA0053
21.957353,100.452547,CSA0054
21.957353,100.452547,CSA0055
21.957353,100.452547,CSA0056
21.957353,100.452547,CSA0057
21.957353,100.452547,CSA0058
21.957353,100.452547,CSA0059
21.957353,100.452547,CSA0060
21.957353,100.452547,CSA0061
21.957353,100.452547,CSA0062
21.957353,100.452547,CSA0063
21.957353,100.452547,CSA0064
21.957353,100.452547,CSA0065
21.957353,100.452547,CSA0066
21.957353,100.452547,CSA0067
21.957353,100.452547,CSA0068
21.957353,100.452547,CSA0069
21.957353,100.452547,CSA0070
21.957353,100.452547,CSA0071
21.957353,100.452547,CSA0072
21.957353,100.452547,CSA0073
21.957353,100.452547,CSA0074
21.957353,100.452547,CSA0075
21.957353,100.452547,CSA0076
21.957353,100.452547,CSA0077
21.957353,100.452547,CSA0078
21.957353,100.452547,CSA0079
21.957353,100.452547,CSA0080
21.957353,100.452547,CSA0081
21.957353,100.452547,CSA0082
24.6587,116.171355,CSA0083
21.957353,100.452547,CSA0084
21.957353,100.452547,CSA0085
21.957353,100.452547,CSA0086
21.957353,100.452547,CSA0087
21.957353,100.452547,CSA0088
21.957353,100.452547,CSA0089
23.146712,99.246196,CSA0090
23.146712,99.246196,CSA0091
23.146712,99.246196,CSA0092
26.7465203,94.2025859,CSA0093
26.7465203,94.2025859,CSA0094
26.7465203,94.2025859,CSA0095
26.7465203,94.2025859,CSA0096
26.7465203,94.2025859,CSA0097
26.7465203,94.2025859,CSA0098
26.7465203,94.2025859,CSA0099
26.7465203,94.2025859,CSA0100
26.7465203,94.2025859,CSA0101
26.7465203,94.2025859,CSA0102
26.7465203,94.2025859,CSA0103
26.7465203,94.2025859,CSA0104
26.7465203,94.2025859,CSA0105
27.3512535,96.0163146,CSA0106
26.2006043,92.9375739,CSA0107
26.2006043,92.9375739,CSA0108
26.2006043,92.9375739,CSA0109
26.2006043,92.9375739,CSA0110
26.2006043,92.9375739,CSA0111
26.2006043,92.9375739,CSA0112
26.2006043,92.9375739,CSA0113
26.2006043,92.9375739,CSA0114
26.2006043,92.9375739,CSA0115
27.3512535,96.0163146,CSA0116
26.2006043,92.9375739,CSA0117
26.2006043,92.9375739,CSA0118
26.2006043,92.9375739,CSA0119
24.696335,99.698678,CSA0120
24.675771,100.082639,CSA0121
24.675771,100.082639,CSA0122
23.538092,99.397126,CSA0123
23.538092,99.397126,CSA0124
23.538092,99.397126,CSA0125
23.559636,99.085483,CSA0126
23.559636,99.085483,CSA0127
21.957353,100.452547,CSA0128
21.957353,100.452547,CSA0129
21.957353,100.452547,CSA0130
21.957353,100.452547,CSA0131
21.957353,100.452547,CSA0132
21.957353,100.452547,CSA0133
21.957353,100.452547,CSA0134
21.957353,100.452547,CSA0135
21.957353,100.452547,CSA0136
21.957353,100.452547,CSA0137
21.957353,100.452547,CSA0138
21.957353,100.452547,CSA0139
21.957353,100.452547,CSA0140
21.957353,100.452547,CSA0141
21.957353,100.452547,CSA0142
21.957353,100.452547,CSA0143
21.459233,101.564635,CSA0144
21.459233,101.564635,CSA0145
21.459233,101.564635,CSA0146
22.555904,99.931975,CSA0147
22.329099,99.584157,CSA0148
22.555904,99.931975,CSA0149
22.555904,99.931975,CSA0150
22.644508,99.590123,CSA0151
22.585867,101.86212,CSA0152
22.78691,100.977164,CSA0153
22.825065,100.966512,CSA0154
22.825065,100.966512,CSA0155
22.825065,100.966512,CSA0156
23.431894,101.692461,CSA0157
23.431894,101.692461,CSA0158
23.431894,101.692461,CSA0159
21.957353,100.452547,CSA0160
22.555904,99.931975,CSA0161
21.957353,100.452547,CSA0162
24.696335,99.698678,CSA0163
24.696335,99.698678,CSA0164
24.696335,99.698678,CSA0165
23.146712,99.246196,CSA0166
23.146712,99.246196,CSA0167
23.146712,99.246196,CSA0168
23.146712,99.246196,CSA0169
24.437061,100.123248,CSA0170
24.437061,100.123248,CSA0171
21.957353,100.452547,CSA0172
21.957353,100.452547,CSA0173
21.459233,101.564635,CSA0174
22.555904,99.931975,CSA0175
22.329099,99.584157,CSA0176
22.555904,99.931975,CSA0177
22.555904,99.931975,CSA0178
22.555904,99.931975,CSA0179
22.585867,101.86212,CSA0180
21.957353,100.452547,CSA0181
21.957353,100.452547,CSA0182
21.957353,100.452547,CSA0183
22.33178,100.921348,CSA0184
22.33178,100.921348,CSA0185
22.33178,100.921348,CSA0186
22.33178,100.921348,CSA0187
22.825065,100.966512,CSA0188
22.825065,100.966512,CSA0189
22.825065,100.966512,CSA0190
21.957353,100.452547,CSA0191
21.957353,100.452547,CSA0192
22.33178,100.921348,CSA0193
22.33178,100.921348,CSA0194
23.146712,99.246196,CSA0195
22.825065,100.966512,CSA0196
27.0360066,88.2626751,CSA0197
26.840521,92.810658,CSA0198
26.840521,92.810658,CSA0199
26.840521,92.810658,CSA0200
26.840521,92.810658,CSA0201
26.840521,92.810658,CSA0202
26.840521,92.810658,CSA0203
26.840521,92.810658,CSA0204
26.840521,92.810658,CSA0205
26.840521,92.810658,CSA0206
26.840521,92.810658,CSA0207
26.7465203,94.2025859,CSA0208
26.7465203,94.2025859,CSA0209
26.7465203,94.2025859,CSA0210
26.7465203,94.2025859,CSA0211
27.3512535,96.0163146,CSA0212
27.3512535,96.0163146,CSA0213
-0.023559,37.906193,CSA0214
-0.023559,37.906193,CSA0215
-0.023559,37.906193,CSA0216
-0.023559,37.906193,CSA0217
-0.023559,37.906193,CSA0218
-0.023559,37.906193,CSA0219
-0.023559,37.906193,CSA0220
-0.023559,37.906193,CSA0221
-0.023559,37.906193,CSA0222
-0.023559,37.906193,CSA0223
-0.023559,37.906193,CSA0224
-0.023559,37.906193,CSA0225
-0.023559,37.906193,CSA0226
-0.023559,37.906193,CSA0227
-0.023559,37.906193,CSA0228
-0.023559,37.906193,CSA0229
-0.023559,37.906193,CSA0230
-0.023559,37.906193,CSA0231
-0.023559,37.906193,CSA0232
-0.023559,37.906193,CSA0233
